animateType,name,no,tagAddr,tagID,interval
changeImage,휀11-1.기동,929,http://192.168.245.3:9898/monitor/hvac/2009_4_11,TAG_2009_4_11,NULL
changeImage,휀11-2.기동,930,http://192.168.245.3:9898/monitor/hvac/2009_4_12,TAG_2009_4_12,NULL
changeImage,휀11-3.기동,931,http://192.168.245.3:9898/monitor/hvac/2009_4_13,TAG_2009_4_13,NULL
changeImage,휀11-4.기동,932,http://192.168.245.3:9898/monitor/hvac/2009_4_14,TAG_2009_4_14,NULL
changeImage,FCU.6F-7.기동,933,http://192.168.245.3:9898/monitor/hvac/2009_4_15,TAG_2009_4_15,NULL
changeImage,FCU.6F-8.기동,934,http://192.168.245.3:9898/monitor/hvac/2009_4_16,TAG_2009_4_16,NULL
changeImage,공조기09.냉난방전환,935,http://192.168.245.3:9898/monitor/hvac/2009_5_1,TAG_2009_5_1,NULL
changeImage,공조기09.예열운전,936,http://192.168.245.3:9898/monitor/hvac/2009_5_2,TAG_2009_5_2,NULL
changeImage,공조기09.등급해제,937,http://192.168.245.3:9898/monitor/hvac/2009_5_3,TAG_2009_5_3,NULL
changeImage,공조기09.자동운전,938,http://192.168.245.3:9898/monitor/hvac/2009_5_4,TAG_2009_5_4,NULL
changeImage,공조기09.엔탈피운전선택,939,http://192.168.245.3:9898/monitor/hvac/2009_5_5,TAG_2009_5_5,NULL
changeImage,FCU21.자동운전,940,http://192.168.245.3:9898/monitor/hvac/2009_5_6,TAG_2009_5_6,NULL
changeTextFloor_1,FCU21.냉난방전환,941,http://192.168.245.3:9898/monitor/hvac/2009_5_7,TAG_2009_5_7,NULL
changeImage,FCU21.등급해제,942,http://192.168.245.3:9898/monitor/hvac/2009_5_8,TAG_2009_5_8,NULL
changeImage,FCU22.자동운전,943,http://192.168.245.3:9898/monitor/hvac/2009_5_9,TAG_2009_5_9,NULL
changeTextFloor_1,FCU22.냉난방전환,944,http://192.168.245.3:9898/monitor/hvac/2009_5_10,TAG_2009_5_10,NULL
changeImage,FCU22.등급해제,945,http://192.168.245.3:9898/monitor/hvac/2009_5_11,TAG_2009_5_11,NULL
changeImage,FCU21.기동,946,http://192.168.245.3:9898/monitor/hvac/2009_5_12,TAG_2009_5_12,NULL
changeImage,공조기09.화재존02.경보,947,http://192.168.245.3:9898/monitor/hvac/2009_5_13,TAG_2009_5_13,0
changeImage,FCU21.상태,948,http://192.168.245.3:9898/monitor/hvac/2009_5_14,TAG_2009_5_14,NULL
changeImage,AutoClave01.상태,949,http://192.168.245.3:9898/monitor/hvac/2009_5_15,TAG_2009_5_15,NULL
changeImage,AutoClave02.상태,950,http://192.168.245.3:9898/monitor/hvac/2009_5_16,TAG_2009_5_16,NULL
