animateType,name,no,tagAddr,tagID,interval,criteria
changeImage,공조기07.등급해제,746,http://localhost:9898/current/hvac/2007_5_3,TAG_2007_5_3,NULL,NULL
changeImage,공조기07.자동운전,747,http://localhost:9898/current/hvac/2007_5_4,TAG_2007_5_4,NULL,NULL
changeImage,공조기07.엔탈피운전선택,748,http://localhost:9898/current/hvac/2007_5_5,TAG_2007_5_5,NULL,NULL
changeImage,AutoClaveN03.상태,749,http://localhost:9898/current/hvac/2007_5_6,TAG_2007_5_6,NULL,NULL
changeTextFloor_1,AutoClave.상태X,750,http://localhost:9898/current/hvac/2007_5_7,TAG_2007_5_7,NULL,NULL
changeImage,공조기07.흄후드01.상태,751,http://localhost:9898/current/hvac/2007_5_8,TAG_2007_5_8,NULL,NULL
changeImage,공조기07.공기유동01.상태,752,http://localhost:9898/current/hvac/2007_5_9,TAG_2007_5_9,NULL,NULL
changeImage,FCU.5F.4-9.등급해제,753,http://localhost:9898/current/hvac/2007_5_10,TAG_2007_5_10,NULL,NULL
changeImage,FCU.5F-7.자동,754,http://localhost:9898/current/hvac/2007_5_11,TAG_2007_5_11,NULL,NULL
changeImage,FCU.5F-8.자동,755,http://localhost:9898/current/hvac/2007_5_12,TAG_2007_5_12,NULL,NULL
changeImage,FCU.5F-9.자동,756,http://localhost:9898/current/hvac/2007_5_13,TAG_2007_5_13,NULL,NULL
changeTextFloor_1,공조기08.급기온도,757,http://localhost:9898/current/hvac/2008_0_1,TAG_2008_0_1,3600000,NULL
changeTextFloor_1,공조기08.혼합온도,758,http://localhost:9898/current/hvac/2008_0_2,TAG_2008_0_2,3600000,NULL
changeTextFloor_0,공조기08.급기습도,759,http://localhost:9898/current/hvac/2008_0_3,TAG_2008_0_3,3600000,NULL
changeTextFloor_1,공조기08.급기풍량1,760,http://localhost:9898/current/hvac/2008_0_4,TAG_2008_0_4,NULL,NULL
changeTextFloor_1,공조기08.정압,761,http://localhost:9898/current/hvac/2008_0_5,TAG_2008_0_5,NULL,NULL
changeTextFloor_1,공조기08.실간차압01,762,http://localhost:9898/current/hvac/2008_0_6,TAG_2008_0_6,NULL,NULL
changeTextFloor_1,공조기08.실간차압02,763,http://localhost:9898/current/hvac/2008_0_7,TAG_2008_0_7,NULL,NULL
changeTextFloor_1,공조기08.실간차압03,764,http://localhost:9898/current/hvac/2008_0_8,TAG_2008_0_8,NULL,NULL
changeTextFloor_1,공조기08.실간차압04,765,http://localhost:9898/current/hvac/2008_0_9,TAG_2008_0_9,NULL,NULL
changeTextFloor_1,공조기08.실간차압05,766,http://localhost:9898/current/hvac/2008_0_10,TAG_2008_0_10,NULL,NULL
changeTextFloor_1,공조기08.급기풍량2,767,http://localhost:9898/current/hvac/2008_0_11,TAG_2008_0_11,NULL,NULL
changeTextFloor_1,FCU.5F.1-3.실내온도,768,http://localhost:9898/current/hvac/2008_0_12,TAG_2008_0_12,3600000,NULL
changeTextFloor_1,FCU.5F.4-5.실내온도,769,http://localhost:9898/current/hvac/2008_0_13,TAG_2008_0_13,3600000,NULL
changeTextFloor_1,FCU.5F.6.실내온도,770,http://localhost:9898/current/hvac/2008_0_14,TAG_2008_0_14,3600000,NULL
changeTextFloor_0,공조기08.냉방밸브,771,http://localhost:9898/current/hvac/2008_1_1,TAG_2008_1_1,NULL,NULL
changeTextFloor_0,공조기08.난방밸브,772,http://localhost:9898/current/hvac/2008_1_2,TAG_2008_1_2,NULL,NULL
changeTextFloor_0,공조기08.가습밸브,773,http://localhost:9898/current/hvac/2008_1_3,TAG_2008_1_3,NULL,NULL
changeTextFloor_0,공조기08.급기인버터,774,http://localhost:9898/current/hvac/2008_1_4,TAG_2008_1_4,NULL,NULL
changeTextFloor_0,공조기08.윙코일밸브,775,http://localhost:9898/current/hvac/2008_1_5,TAG_2008_1_5,NULL,NULL
changeTextFloor_0,공조기08.윙코일댐퍼,776,http://localhost:9898/current/hvac/2008_1_6,TAG_2008_1_6,NULL,NULL
changeTextFloor_0,FCU.5F.1-3.난방밸브,777,http://localhost:9898/current/hvac/2008_1_7,TAG_2008_1_7,NULL,NULL
changeTextFloor_0,FCU.5F.1-3.냉방밸브,778,http://localhost:9898/current/hvac/2008_1_8,TAG_2008_1_8,NULL,NULL
changeTextFloor_1,공조기08.ERR,779,http://localhost:9898/current/hvac/2008_2_1,TAG_2008_2_1,NULL,NULL
changeTextFloor_1,공조기08.댐퍼최소치,780,http://localhost:9898/current/hvac/2008_2_2,TAG_2008_2_2,NULL,NULL
changeTextFloor_0,공조기08.실외엔탈피,781,http://localhost:9898/current/hvac/2008_2_3,TAG_2008_2_3,NULL,NULL
changeTextFloor_0,공조기08.실내엔탈피,782,http://localhost:9898/current/hvac/2008_2_4,TAG_2008_2_4,NULL,NULL
changeTextFloor_1,공조기08.설정정압,783,http://localhost:9898/current/hvac/2008_2_5,TAG_2008_2_5,NULL,NULL
changeTextFloor_1,공조기08.설정온도,784,http://localhost:9898/current/hvac/2008_2_6,TAG_2008_2_6,3600000,NULL
changeTextFloor_1,공조기08.설정습도,785,http://localhost:9898/current/hvac/2008_2_7,TAG_2008_2_7,3600000,NULL
changeTextFloor_1,FCU.5F.1-3.설정온도,786,http://localhost:9898/current/hvac/2008_2_8,TAG_2008_2_8,3600000,NULL
changeTextFloor_1,FCU.5F.4-5.설정온도,787,http://localhost:9898/current/hvac/2008_2_9,TAG_2008_2_9,3600000,NULL
changeTextFloor_1,FCU.5F.6.설정온도,788,http://localhost:9898/current/hvac/2008_2_10,TAG_2008_2_10,3600000,NULL
changeTextFloor_0,공조기08.급기FMS2,789,http://localhost:9898/current/hvac/2008_2_11,TAG_2008_2_11,NULL,NULL
changeTextFloor_0,공조기08.급기FMS1,790,http://localhost:9898/current/hvac/2008_2_12,TAG_2008_2_12,NULL,NULL
changeImage,공조기08.급기상태,791,http://localhost:9898/current/hvac/2008_3_1,TAG_2008_3_1,NULL,NULL
changeImage,공조기08.급기경보,792,http://localhost:9898/current/hvac/2008_3_2,TAG_2008_3_2,0,value == "Active"
changeImage,공조기08.전기히터상태,793,http://localhost:9898/current/hvac/2008_3_3,TAG_2008_3_3,NULL,NULL
changeImage,공조기08.필터경보,794,http://localhost:9898/current/hvac/2008_3_4,TAG_2008_3_4,0,value == "Active"
changeImage,공조기08.화재존01.경보,795,http://localhost:9898/current/hvac/2008_3_5,TAG_2008_3_5,0,value == "Active"
changeImage,공조기08.윙코일상태,796,http://localhost:9898/current/hvac/2008_3_6,TAG_2008_3_6,NULL,NULL
changeImage,공조기08.흄후드01.상태,797,http://localhost:9898/current/hvac/2008_3_7,TAG_2008_3_7,NULL,NULL
