id,date_time,date_type,interval,no,subject,tagids,value_type
42,2016-01-27 00:00:01,c,DAY,42,LV8_WH_TODAY 일별 그래프,LV8_WH_TODAY:TAG_4560_2_164,AVG
43,2016-01-27 00:00:01,c,DAY,43,LV8_WH_YEAR 일별 그래프,LV8_WH_YEAR:TAG_4560_2_165,AVG
44,2016-01-27 00:00:01,c,DAY,44,HV5_WH_TODAY 일별 그래프,HV5_WH_TODAY:TAG_4560_2_17,AVG
45,2016-01-27 00:00:01,c,DAY,45,LV13_WATT_VALUE 일별 그래프,LV13_WATT_VALUE:TAG_4560_2_176,AVG
46,2016-01-27 00:00:01,c,DAY,46,LV13_WH_HOUR 일별 그래프,LV13_WH_HOUR:TAG_4560_2_177,AVG
47,2016-01-27 00:00:01,c,DAY,47,LV13_WH_MONTH 일별 그래프,LV13_WH_MONTH:TAG_4560_2_178,AVG
48,2016-01-27 00:00:01,c,DAY,48,LV13_WH_PREVIOUS_DAY 일별 그래프,LV13_WH_PREVIOUS_DAY:TAG_4560_2_179,AVG
49,2016-01-27 00:00:01,c,DAY,49,HV5_WH_YEAR 일별 그래프,HV5_WH_YEAR:TAG_4560_2_18,AVG
50,2016-01-27 00:00:01,c,DAY,50,LV13_WH_PREVIOUS_HOUR 일별 그래프,LV13_WH_PREVIOUS_HOUR:TAG_4560_2_180,AVG
51,2016-01-27 00:00:01,c,DAY,51,LV13_WH_PREVIOUS_MONTH 일별 그래프,LV13_WH_PREVIOUS_MONTH:TAG_4560_2_181,AVG
52,2016-01-27 00:00:01,c,DAY,52,LV13_WH_PREVIOUS_YEAR 일별 그래프,LV13_WH_PREVIOUS_YEAR:TAG_4560_2_182,AVG
53,2016-01-27 00:00:01,c,DAY,53,LV13_WH_TODAY 일별 그래프,LV13_WH_TODAY:TAG_4560_2_183,AVG
54,2016-01-27 00:00:01,c,DAY,54,LV13_WH_YEAR 일별 그래프,LV13_WH_YEAR:TAG_4560_2_184,AVG
55,2016-01-27 00:00:01,c,DAY,55,LV14_WATT_VALUE 일별 그래프,LV14_WATT_VALUE:TAG_4560_2_195,AVG
56,2016-01-27 00:00:01,c,DAY,56,LV14_WH_HOUR 일별 그래프,LV14_WH_HOUR:TAG_4560_2_196,AVG
57,2016-01-27 00:00:01,c,DAY,57,LV14_WH_MONTH 일별 그래프,LV14_WH_MONTH:TAG_4560_2_197,AVG
58,2016-01-27 00:00:01,c,DAY,58,LV14_WH_PREVIOUS_DAY 일별 그래프,LV14_WH_PREVIOUS_DAY:TAG_4560_2_198,AVG
59,2016-01-27 00:00:01,c,DAY,59,LV14_WH_PREVIOUS_HOUR 일별 그래프,LV14_WH_PREVIOUS_HOUR:TAG_4560_2_199,AVG
60,2016-01-27 00:00:01,c,DAY,60,LV14_WH_PREVIOUS_MONTH 일별 그래프,LV14_WH_PREVIOUS_MONTH:TAG_4560_2_200,AVG
61,2016-01-27 00:00:01,c,DAY,61,LV14_WH_PREVIOUS_YEAR 일별 그래프,LV14_WH_PREVIOUS_YEAR:TAG_4560_2_201,AVG
62,2016-01-27 00:00:01,c,DAY,62,LV14_WH_TODAY 일별 그래프,LV14_WH_TODAY:TAG_4560_2_202,AVG
63,2016-01-27 00:00:01,c,DAY,63,LV14_WH_YEAR 일별 그래프,LV14_WH_YEAR:TAG_4560_2_203,AVG
64,2016-01-27 00:00:01,c,DAY,64,GEN31_WATT_VALUE 일별 그래프,GEN31_WATT_VALUE:TAG_4560_2_218,AVG
65,2016-01-27 00:00:01,c,DAY,65,GEN32_WATT_VALUE 일별 그래프,GEN32_WATT_VALUE:TAG_4560_2_226,AVG
66,2016-01-27 00:00:01,c,DAY,66,GEN21_WATT_VALUE 일별 그래프,GEN21_WATT_VALUE:TAG_4560_2_234,AVG
67,2016-01-27 00:00:01,c,DAY,67,GEN22_WATT_VALUE 일별 그래프,GEN22_WATT_VALUE:TAG_4560_2_242,AVG
68,2016-01-27 00:00:01,c,DAY,68,GEN1_WATT_VALUE 일별 그래프,GEN1_WATT_VALUE:TAG_4560_2_252,AVG
69,2016-01-27 00:00:01,c,DAY,69,GEN1_WH_HOUR 일별 그래프,GEN1_WH_HOUR:TAG_4560_2_253,AVG
70,2016-01-27 00:00:01,c,DAY,70,GEN1_WH_MONTH 일별 그래프,GEN1_WH_MONTH:TAG_4560_2_254,AVG
71,2016-01-27 00:00:01,c,DAY,71,GEN1_WH_PREVIOUS_DAY 일별 그래프,GEN1_WH_PREVIOUS_DAY:TAG_4560_2_255,AVG
72,2016-01-27 00:00:01,c,DAY,72,GEN1_WH_PREVIOUS_HOUR 일별 그래프,GEN1_WH_PREVIOUS_HOUR:TAG_4560_2_256,AVG
73,2016-01-27 00:00:01,c,DAY,73,GEN1_WH_PREVIOUS_MONTH 일별 그래프,GEN1_WH_PREVIOUS_MONTH:TAG_4560_2_257,AVG
74,2016-01-27 00:00:01,c,DAY,74,GEN1_WH_PREVIOUS_YEAR 일별 그래프,GEN1_WH_PREVIOUS_YEAR:TAG_4560_2_258,AVG
75,2016-01-27 00:00:01,c,DAY,75,GEN1_WH_TODAY 일별 그래프,GEN1_WH_TODAY:TAG_4560_2_259,AVG
76,2016-01-27 00:00:01,c,DAY,76,GEN1_WH_YEAR 일별 그래프,GEN1_WH_YEAR:TAG_4560_2_260,AVG
77,2016-01-27 00:00:01,c,DAY,77,HV5_W_MONTH 일별 그래프,HV5_W_MONTH:TAG_4560_2_261,AVG
78,2016-01-27 00:00:01,c,DAY,78,HV5_W_PREVIOUS_DAY 일별 그래프,HV5_W_PREVIOUS_DAY:TAG_4560_2_262,AVG
79,2016-01-27 00:00:01,c,DAY,79,HV5_W_PREVIOUS_MONTH 일별 그래프,HV5_W_PREVIOUS_MONTH:TAG_4560_2_263,AVG
80,2016-01-27 00:00:01,c,DAY,80,HV5_W_PREVIOUS_YEAR 일별 그래프,HV5_W_PREVIOUS_YEAR:TAG_4560_2_264,AVG
81,2016-01-27 00:00:01,c,DAY,81,HV5_W_TODAY 일별 그래프,HV5_W_TODAY:TAG_4560_2_265,AVG
82,2016-01-27 00:00:01,c,DAY,82,HV5_W_YEAR 일별 그래프,HV5_W_YEAR:TAG_4560_2_266,AVG
83,2016-01-27 00:00:01,c,DAY,83,HV6_W_MONTH 일별 그래프,HV6_W_MONTH:TAG_4560_2_267,AVG
84,2016-01-27 00:00:01,c,DAY,84,HV6_W_PREVIOUS_DAY 일별 그래프,HV6_W_PREVIOUS_DAY:TAG_4560_2_268,AVG
85,2016-01-27 00:00:01,c,DAY,85,HV6_W_PREVIOUS_MONTH 일별 그래프,HV6_W_PREVIOUS_MONTH:TAG_4560_2_269,AVG
