id,date_time,date_type,interval,no,subject,tagids,value_type
185,2016-01-27 00:00:01,c,DAY,185,HV7_WH_PREVIOUS_DAY 일별 그래프,HV7_WH_PREVIOUS_DAY:TAG_4560_2_49,AVG
186,2016-01-27 00:00:01,c,DAY,186,HV7_WH_PREVIOUS_HOUR 일별 그래프,HV7_WH_PREVIOUS_HOUR:TAG_4560_2_50,AVG
187,2016-01-27 00:00:01,c,DAY,187,HV7_WH_PREVIOUS_MONTH 일별 그래프,HV7_WH_PREVIOUS_MONTH:TAG_4560_2_51,AVG
188,2016-01-27 00:00:01,c,DAY,188,HV7_WH_PREVIOUS_YEAR 일별 그래프,HV7_WH_PREVIOUS_YEAR:TAG_4560_2_52,AVG
189,2016-01-27 00:00:01,c,DAY,189,HV7_WH_TODAY 일별 그래프,HV7_WH_TODAY:TAG_4560_2_53,AVG
190,2016-01-27 00:00:01,c,DAY,190,HV7_WH_YEAR 일별 그래프,HV7_WH_YEAR:TAG_4560_2_54,AVG
191,2016-01-27 00:00:01,c,DAY,191,HV8_WATT_VALUE 일별 그래프,HV8_WATT_VALUE:TAG_4560_2_64,AVG
192,2016-01-27 00:00:01,c,DAY,192,HV8_WH_HOUR 일별 그래프,HV8_WH_HOUR:TAG_4560_2_65,AVG
193,2016-01-27 00:00:01,c,DAY,193,HV8_WH_MONTH 일별 그래프,HV8_WH_MONTH:TAG_4560_2_66,AVG
194,2016-01-27 00:00:01,c,DAY,194,HV8_WH_PREVIOUS_DAY 일별 그래프,HV8_WH_PREVIOUS_DAY:TAG_4560_2_67,AVG
195,2016-01-27 00:00:01,c,DAY,195,HV8_WH_PREVIOUS_HOUR 일별 그래프,HV8_WH_PREVIOUS_HOUR:TAG_4560_2_68,AVG
196,2016-01-27 00:00:01,c,DAY,196,HV8_WH_PREVIOUS_MONTH 일별 그래프,HV8_WH_PREVIOUS_MONTH:TAG_4560_2_69,AVG
197,2016-01-27 00:00:01,c,DAY,197,HV8_WH_PREVIOUS_YEAR 일별 그래프,HV8_WH_PREVIOUS_YEAR:TAG_4560_2_70,AVG
198,2016-01-27 00:00:01,c,DAY,198,HV8_WH_TODAY 일별 그래프,HV8_WH_TODAY:TAG_4560_2_71,AVG
199,2016-01-27 00:00:01,c,DAY,199,HV8_WH_YEAR 일별 그래프,HV8_WH_YEAR:TAG_4560_2_72,AVG
200,2016-01-27 00:00:01,c,DAY,200,HV9_WATT_VALUE 일별 그래프,HV9_WATT_VALUE:TAG_4560_2_82,AVG
201,2016-01-27 00:00:01,c,DAY,201,HV9_WH_HOUR 일별 그래프,HV9_WH_HOUR:TAG_4560_2_83,AVG
202,2016-01-27 00:00:01,c,DAY,202,HV9_WH_MONTH 일별 그래프,HV9_WH_MONTH:TAG_4560_2_84,AVG
203,2016-01-27 00:00:01,c,DAY,203,HV9_WH_PREVIOUS_DAY 일별 그래프,HV9_WH_PREVIOUS_DAY:TAG_4560_2_85,AVG
204,2016-01-27 00:00:01,c,DAY,204,HV9_WH_PREVIOUS_HOUR 일별 그래프,HV9_WH_PREVIOUS_HOUR:TAG_4560_2_86,AVG
205,2016-01-27 00:00:01,c,DAY,205,HV9_WH_PREVIOUS_MONTH 일별 그래프,HV9_WH_PREVIOUS_MONTH:TAG_4560_2_87,AVG
206,2016-01-27 00:00:01,c,DAY,206,HV9_WH_PREVIOUS_YEAR 일별 그래프,HV9_WH_PREVIOUS_YEAR:TAG_4560_2_88,AVG
207,2016-01-27 00:00:01,c,DAY,207,HV9_WH_TODAY 일별 그래프,HV9_WH_TODAY:TAG_4560_2_89,AVG
208,2016-01-27 00:00:01,c,DAY,208,HV9_WH_YEAR 일별 그래프,HV9_WH_YEAR:TAG_4560_2_90,AVG
