condition,no,tagid
HV8_Peak1_Event 발생:val == "Active",84,HV8_Peak1_Event:TAG_4560_5_73
HV8_peak2_Event 발생:val == "Active",85,HV8_peak2_Event:TAG_4560_5_74
HV8_Peak3_Event 발생:val == "Active",86,HV8_Peak3_Event:TAG_4560_5_75
HV8_PF_Event 발생:val == "Active",87,HV8_PF_Event:TAG_4560_5_76
HV9_FREQUENCY_Event 발생:val == "Active",88,HV9_FREQUENCY_Event:TAG_4560_5_89
HV9_ocgr_Alarm_Event 발생:val == "Active",89,HV9_ocgr_Alarm_Event:TAG_4560_5_90
HV9_ocr_Alarm_Event 발생:val == "Active",90,HV9_ocr_Alarm_Event:TAG_4560_5_91
HV9_Peak1_Event 발생:val == "Active",91,HV9_Peak1_Event:TAG_4560_5_92
HV9_Peak2_Event 발생:val == "Active",92,HV9_Peak2_Event:TAG_4560_5_93
HV9_Peak3_Event 발생:val == "Active",93,HV9_Peak3_Event:TAG_4560_5_94
HV9_PF_Alarm 발생:val == "Active",94,HV9_PF_Alarm:TAG_4560_5_95
