animateType,name,no,tagAddr,tagID,interval,criteria
NULL,upsHighPrecInputMaxLineVoltage.0,30,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.3.3.2.0,1.3.6.1.4.1.318.1.1.1.3.3.2.0,NULL,NULL
NULL,upsHighPrecInputMinLineVoltage.0,31,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.3.3.3.0,1.3.6.1.4.1.318.1.1.1.3.3.3.0,NULL,NULL
NULL,upsHighPrecInputFrequency.0,32,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.3.3.4.0,1.3.6.1.4.1.318.1.1.1.3.3.4.0,NULL,NULL
NULL,upsBasicOutputStatus.0,33,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.1.1.0,1.3.6.1.4.1.318.1.1.1.4.1.1.0,NULL,NULL
NULL,upsBasicOutputPhase.0,34,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.1.2.0,1.3.6.1.4.1.318.1.1.1.4.1.2.0,NULL,NULL
NULL,upsAdvOutputVoltage.0,35,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.2.1.0,1.3.6.1.4.1.318.1.1.1.4.2.1.0,NULL,NULL
NULL,upsAdvOutputFrequency.0,36,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.2.2.0,1.3.6.1.4.1.318.1.1.1.4.2.2.0,NULL,NULL
NULL,upsAdvOutputLoad.0,37,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.2.3.0,1.3.6.1.4.1.318.1.1.1.4.2.3.0,NULL,NULL
NULL,upsAdvOutputKVACapacity.0,38,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.2.6.0,1.3.6.1.4.1.318.1.1.1.4.2.6.0,NULL,NULL
NULL,upsAdvOutputActivePower.0,39,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.2.8.0,1.3.6.1.4.1.318.1.1.1.4.2.8.0,NULL,NULL
NULL,upsAdvOutputApparentPower.0,40,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.2.9.0,1.3.6.1.4.1.318.1.1.1.4.2.9.0,NULL,NULL
NULL,upsHighPrecOutputVoltage.0,41,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.3.1.0,1.3.6.1.4.1.318.1.1.1.4.3.1.0,NULL,NULL
NULL,upsHighPrecOutputFrequency.0,42,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.3.2.0,1.3.6.1.4.1.318.1.1.1.4.3.2.0,NULL,NULL
NULL,upsHighPrecOutputLoad.0,43,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.4.3.3.0,1.3.6.1.4.1.318.1.1.1.4.3.3.0,NULL,NULL
NULL,upsBasicConfigNumDevices.0,44,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.1.0,1.3.6.1.4.1.318.1.1.1.5.1.1.0,NULL,NULL
NULL,deviceIndex.1,45,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.1,1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.1,NULL,NULL
NULL,deviceIndex.2,46,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.2,1.3.6.1.4.1.318.1.1.1.5.1.2.1.1.2,NULL,NULL
